name,score
Dragon Sector,6164
organizers,5958
The Flat Network Society,5295
BlueWater,5057
Kalmarunionen,3807
0xffa,3223
Tasteless,2318
Project Sekai,2255
FluxFingers,2102
r3kapig,1987
ALLES!,1919
KITCTF,1742
upbhack,1635
CVE2K9,1519
Social Engineering Experts,1377
We_0wn_Y0u,1104
NTNU-S2G,977
More Smoked Leet Chicken,883
les amateurs,880
ENOFLAG,804
pwnagaukar,520
thebaguettescrew,0
Black Bauhinia,0
0xf8ff,0
hxp,0
TCP1P,0
ateam,0
CyberSpace,0
Super Guesser,0
thc,0
soudureaubeurre,0
U@A,0
XA21,0
noop,0
dotsu,0
ostwestachse,0
dieAnfänger,0
RedRocket,0
ret2rev,0
SaltT3am,0
Ellipse,0
Phish Paprikaš,0
È dura la vita da Brombe,0
G.0.4.7,0
D3yl0l,0
M53,0
mhackeroni,0
NIX?,0
🤬🇫🇷🛹🐻,0
zeynarz,0
KLPP,0
buttf14g,0
Kaiserschmarrn,0
Silverboyz,0
¯\_(ツ)_/¯,0
neuland,0
flag_is_flag_fr,0
e2033dd7413ccc398709d8e2982f8a1c,0
0_o,0
mizz onreal fg jilf,0
like0x,0
PBR | UCLA,0
sayonara,0
4919,0
DhoomMachaleBois,0
hacxorman1337,0
rmb,0
opgc,0
Web_Solvers,0
-fstack-protector-explicit,0
Zimzi,0
X_CyberShielD_X,0
Cyclopropenylidene,0
Sloppy Joe Pirates,0
DArk5341,0
daffainfo,0
Hey,0
0xE0F,0
Soker Sangam,0
GoNx,0
Reverse : 1999,0
Just For The Questions,0
Kn0ckD00r,0
SSH,0
Szarny,0
justlel,0
ohimark,0
sf,0
3l3v3n$,0
hagen{fl4g_hunt3r5},0
InfoSecIITR,0
Moris,0
capturetheflax,0
LuftensHjaltar,0
mett,0
Abracada,0
Behind the Curve,0
TonThuongCamXuc,0
aslide,0
Ireland Without the RE,0
FreedBytes,0
Trojan,0
41_dun7_kn0w,0
MK37,0
iamtheteam09,0
luxeria,0
Team0x31,0
JustTry!,0
WeAreScientists,0
wr0belj,0
Heaven's_Birds,0
A HALBE,0
team_prpl,0
Ludicrous Avengers of Ridiculou,0
Lev9L,0
t̵̏͂͐̈́͗̎͗͆͂͂̔̃̇͊̊̊̌̍̎̅̂̽̆̅̀̓̂͑̕̕,0
jarck,0
gotiny,0
HereToInsultYou,0
small clowns,0
Super Cats,0
ööööh,0
Maultaschen,0
toby,0
old_farts,0
just4fun,0
HiThisIsATeam,0
CCUG,0
Explie,0
Private Property,0
CSEC,0
GoudaGuardians,0
Team Kakashi,0
sadusb,0
Team Oberdollendorf,0
dimitarkolev,0
N0T34M,0
.cfg,0
pwnisher,0
the losers,0
Diztend,0
TheRoundTable,0
KerKerYuan,0
"<team name=""",0
xeniter,0
CryptoCrackers,0
Wildest Streams,0
OrangeBox,0
anti_1337,0
Agent$ 777,0
<OOO>,0
MOCSCTF,0
breezeqwq,0
ggstudy,0
Super Hans,0
Epsilon,0
szf,0
X@k3R v R3k@X,0
Pilum Muralis,0
tinybaby,0
BranMan,0
shfsec,0
vibes,0
0x1337,0
ukk1337,0
Zafk1el,0
Alphas,0
AtlasPy,0
A-Team,0
hiu,0
exit man,0
squareroots,0
origineel,0
cyberunicorns,0
room2042,0
joketown,0
wp,0
shuiyouteam,0
CR,0
DuckWithAKnife,0
no_such_team,0
luckysmallbird,0
keksd0se,0
CyberTaskForce Zero,0
hhc0null,0
ChMN,0
Amiens Computer Club,0
Yuki_Solo_jp,0
SS,0
CUHK0x,0
secsyst,0
Checkm4te_,0
TheGrue,0
HanazonoHousehold,0
Pr0scriptus,0
Tokyo_Manji,0
llj,0
ben10,0
0050,0
Datenburg,0
JusticeSociety,0
test_team_please_ignore,0
Bounty_Hunters,0
ISFCR PESU,0
CrystalField,0
Garbonoobs,0
iith,0
B1@cK_R0$0t,0
KY-Team,0
M4ZE_RUNN3RZ,0
minipif,0
4tL3457W37r13d,0
Pythoncrazy,0
QWE!#,0
але,0
Homies,0
fijas_UNMSM,0
leosec,0
p0l1cy,0
AKATSUKI,0
Hackers!,0
dfl,0
ByteSmashers,0
Daily_CTF,0
Cyber_Billikens,0
xyzsec,0
SomeShiftHappens,0
Wh1teR00m,0
MinistryOfSillyCoding,0
ALATOO,0
n3wbie,0
reb3l,0
Ng00m4lDhuhr,0
mcpteam,0
Bala Bros,0
Pypi,0
DEADC0DE,0
404Unfound,0
Island-mine,0
micks team,0
Cipher Blitz,0
ggg,0
Odysseus,0
Bugs,0
d3lbr4kr,0
おっぱい,0
0h-n0-dunn0,0
Hacklabor,0
B0bby T4bles,0
P01s0n3d_Fl4g,0
TeamDSA,0
k3t3,0
PunchClub,0
emp3r0r10,0
daob2023,0
iamroot,0
UTL,0
Segmentation Fault,0
"'""><s>",0
NoobGang,0
Imposter,0
Asteq,0
WASLaplace,0
stones101gate,0
Riki,0
Dkub,0
YabbaDoo,0
hach,0
pleya,0
Sophia ≽^•⩊•^≼,0
TRKtrst,0
soufiane,0
Clown,0
Cerebrales,0
RipperZoid,0
Team Spiryt,0
babyshark,0
Protektive,0
Alexius,0
CTF_fathers,0
7hE 0Ut51D3rS,0
R3d_Kn19h7,0
thesoc,0
hoohaa,0
VoyageYoyageGang,0
AUG,0
odiouschipmunk,0
ARGH,0
‎,0
TMPTEAM,0
OROS,0
5p45ticM0nk3y,0
Celestial,0
Long Live JQ,0
bug_destroy_us,0
BackMoon,0
JufoUfo,0
0rd3rs,0
Anon,0
0xE0AFA,0
Mendacium,0
Y2F0,0
fooledbyprimes,0
Skill_issue,0
haxpowerctf,0
SeregaCTF,0
Bushwhackers,0
Coba_duls,0
c00k1es,0
L3G4N7,0
0nc3-m0r3,0
Huntik,0
CRUSADERS,0
PzKpfw,0
F5M9,0
I_Just_Need_To_Know,0
HowToSellYoghurtOnline(fast),0
NoTeam,0
VeryOldEurope,0
Viktoriiiii,0
NoFixes,0
{515*515},0
PhoenixWings,0
Sleeping IT-lis,0
furry gang :3,0
VictoriaSecret,0
bee,0
U_SH3LL,0
DarkReddish,0
h4ck3r@ffb,0
NorskeNokkelsnikere,0
haxdivision,0
Cyb3erSec,0
Mr.KrYP70n,0
chromosome overflow,0
svarkus,0
hsay098,0
Vanaheim,0
no hints,0
CLC,0
secpack,0
Slt3brgr,0
mj,0
z0de,0
JustMe,0
Gogogo,0
SunBros,0
lech_team,0
0x1337GN,0
Random,0
ManBearPig,0
