name,score
Dragon Sector,6164
organizers,5958
The Flat Network Society,5295
💦,5057
Kalmarunionen,3807
0xffa,3223
Tasteless,2318
Project Sekai,2255
thebaguettescrew,2168
FluxFingers,2102
r3kapig,1987
ALLES!,1919
KITCTF,1742
Black Bauhinia,1680
upbhack,1635
CVE2K9,1519
Social Engineering Experts,1377
0xf8ff,1336
hxp,1332
TCP1P,1180
We_0wn_Y0u,1104
ateam,1094
CyberSpace,1065
Super Guesser,1064
thc,1039
soudureaubeurre,1019
U@A,983
NTNU-S2G,977
XA21,939
More Smoked Leet Chicken,883
les amateurs,880
noop,839
dotsu,831
ostwestachse,816
dieAnfänger,806
ENOFLAG,804
RedRocket,785
ret2rev,777
SaltT3am,777
Ellipse,755
Phish Paprikaš,736
È dura la vita da Brombe,690
G.0.4.7,681
D3yl0l,677
M53,658
mhackeroni,652
NIX?,613
🤬🇫🇷🛹🐻,593
zeynarz,590
KLPP,542
buttf14g,538
Kaiserschmarrn,523
Silverboyz,523
¯\_(ツ)_/¯,523
pwnagaukar,520
neuland,493
flag_is_flag_fr,490
e2033dd7413ccc398709d8e2982f8a1c,477
0_o,442
mizz onreal fg jilf,423
like0x,423
PBR | UCLA,413
sayonara,384
4919,323
DhoomMachaleBois,300
hacxorman1337,300
rmb,300
opgc,300
Web_Solvers,300
-fstack-protector-explicit,300
Zimzi,300
X_CyberShielD_X,300
Cyclopropenylidene,300
Sloppy Joe Pirates,300
DArk5341,300
daffainfo,300
Hey,300
0xE0F,300
Soker Sangam,300
GoNx,300
Reverse : 1999,300
Just For The Questions,300
Kn0ckD00r,300
SSH,300
Szarny,300
justlel,300
ohimark,300
sf,300
3l3v3n$,300
hagen{fl4g_hunt3r5},300
InfoSecIITR,300
Moris,300
capturetheflax,300
LuftensHjaltar,300
mett,293
Abracada,284
Behind the Curve,284
TonThuongCamXuc,284
aslide,200
Ireland Without the RE,200
FreedBytes,200
Trojan,200
41_dun7_kn0w,200
MK37,200
iamtheteam09,200
luxeria,200
Team0x31,200
JustTry!,200
WeAreScientists,200
wr0belj,200
Heaven's_Birds,200
A HALBE,200
team_prpl,200
Ludicrous Avengers of Ridiculou,200
Lev9L,200
t̵̏͂͐̈́͗̎͗͆͂͂̔̃̇͊̊̊̌̍̎̅̂̽̆̅̀̓̂͑̕̕,200
jarck,200
gotiny,200
HereToInsultYou,200
small clowns,200
Super Cats,200
ööööh,200
Maultaschen,200
toby,200
old_farts,200
just4fun,200
HiThisIsATeam,200
CCUG,200
Explie,200
Private Property,200
CSEC,200
GoudaGuardians,200
Team Kakashi,200
sadusb,200
Team Oberdollendorf,200
dimitarkolev,200
N0T34M,200
.cfg,200
pwnisher,200
the losers,200
Diztend,200
TheRoundTable,200
KerKerYuan,200
"<team name=""",200
xeniter,200
CryptoCrackers,200
Wildest Streams,200
OrangeBox,200
anti_1337,200
Agent$ 777,200
<OOO>,200
MOCSCTF,200
breezeqwq,200
ggstudy,200
Super Hans,200
Epsilon,200
szf,200
X@k3R v R3k@X,200
Pilum Muralis,200
tinybaby,200
BranMan,200
shfsec,200
vibes,200
0x1337,200
ukk1337,200
Zafk1el,200
Alphas,200
AtlasPy,200
A-Team,200
hiu,200
exit man,200
squareroots,200
origineel,200
cyberunicorns,200
room2042,200
joketown,200
wp,200
shuiyouteam,200
CR,200
DuckWithAKnife,200
no_such_team,200
luckysmallbird,200
keksd0se,200
CyberTaskForce Zero,200
hhc0null,200
ChMN,100
Amiens Computer Club,100
Yuki_Solo_jp,100
SS,100
CUHK0x,100
secsyst,100
Checkm4te_,100
TheGrue,100
HanazonoHousehold,100
Pr0scriptus,100
Tokyo_Manji,100
llj,100
ben10,100
0050,100
Datenburg,100
JusticeSociety,100
test_team_please_ignore,100
Bounty_Hunters,100
ISFCR PESU,100
CrystalField,100
Garbonoobs,100
iith,100
B1@cK_R0$0t,100
KY-Team,100
M4ZE_RUNN3RZ,100
minipif,100
4tL3457W37r13d,100
Pythoncrazy,100
QWE!#,100
але,100
Homies,100
fijas_UNMSM,100
leosec,100
p0l1cy,100
AKATSUKI,100
Hackers!,100
dfl,100
ByteSmashers,100
Daily_CTF,100
Cyber_Billikens,100
xyzsec,100
SomeShiftHappens,100
Wh1teR00m,100
MinistryOfSillyCoding,100
ALATOO,100
n3wbie,100
reb3l,100
Ng00m4lDhuhr,100
mcpteam,100
Bala Bros,100
Pypi,100
DEADC0DE,100
404Unfound,100
Island-mine,100
micks team,100
Cipher Blitz,100
ggg,100
Odysseus,100
Bugs,100
d3lbr4kr,100
おっぱい,100
0h-n0-dunn0,100
Hacklabor,100
B0bby T4bles,100
P01s0n3d_Fl4g,100
TeamDSA,100
k3t3,100
PunchClub,100
emp3r0r10,100
daob2023,100
iamroot,100
UTL,100
Segmentation Fault,100
"'""><s>",100
NoobGang,100
Imposter,100
Asteq,100
WASLaplace,100
stones101gate,100
Riki,100
Dkub,100
YabbaDoo,100
hach,100
pleya,100
Sophia ≽^•⩊•^≼,100
TRKtrst,100
soufiane,100
Clown,100
Cerebrales,100
RipperZoid,100
Team Spiryt,100
babyshark,100
Protektive,100
Alexius,100
CTF_fathers,100
7hE 0Ut51D3rS,100
R3d_Kn19h7,100
thesoc,100
hoohaa,100
VoyageYoyageGang,100
AUG,100
odiouschipmunk,100
ARGH,100
‎,100
TMPTEAM,100
OROS,100
5p45ticM0nk3y,100
Celestial,100
Long Live JQ,100
bug_destroy_us,100
BackMoon,100
JufoUfo,100
0rd3rs,100
Anon,100
0xE0AFA,100
Mendacium,100
Y2F0,100
fooledbyprimes,100
Skill_issue,100
haxpowerctf,100
SeregaCTF,100
Bushwhackers,100
Coba_duls,100
c00k1es,100
L3G4N7,100
0nc3-m0r3,100
Huntik,100
CRUSADERS,100
PzKpfw,100
F5M9,100
I_Just_Need_To_Know,100
HowToSellYoghurtOnline(fast),100
NoTeam,100
VeryOldEurope,100
Viktoriiiii,100
NoFixes,100
{515*515},100
PhoenixWings,100
Sleeping IT-lis,100
furry gang :3,100
VictoriaSecret,100
bee,100
U_SH3LL,100
DarkReddish,100
h4ck3r@ffb,100
NorskeNokkelsnikere,100
haxdivision,100
Cyb3erSec,100
Mr.KrYP70n,100
chromosome overflow,100
svarkus,100
hsay098,100
Vanaheim,100
no hints,100
CLC,100
secpack,100
Slt3brgr,100
mj,100
z0de,100
JustMe,100
Gogogo,100
SunBros,100
lech_team,100
0x1337GN,100
Random,100
